"Longitude","Latitude"
2781.50895324531,2794.51334586996
2411.22993624531,3628.47509586999
2164.37725824527,2825.64791787036
2596.92541924529,4092.15782887021
496.453758245304,2547.66066786982
-738.921580754691,4092.15782887021
156.197364245297,4184.44959587027
3121.76534724527,3597.34052387038
-430.911707754697,2671.08700687028
-460.934330754696,2980.20882887043
1175.85459724531,2856.78248986997
1638.42538124528,3720.76686287005
2812.64352524527,3319.35327386984
3399.75259724531,4339.01050687035
-615.495241754721,3690.74423987
5128.83329224528,3041.36602387009
7322.70866924528,2269.67341787007
4140.31063124528,3690.74423987
6210.75966924531,3195.92693487017
5036.54152524527,1528.0034348701
5870.5032752453,2886.80511287002
4820.82341924529,3720.76686287005
5222.2370082453,4276.74136287033
4727.41970324527,1805.99068486985
4264.8489192453,3134.76973987051
4264.8489192453,2763.37877387034
4171.44520324528,1620.29520187016
6549.90411424531,3350.48784587024
3554.31350824529,3258.19607887018
5067.67609724528,2702.22157886989
2874.91266924528,-1283.00363713014
-3210.78420775469,-572.468226129781
-2715.9669027547,-1467.58717112947
-1233.73888575472,-510.199082129768
-3643.33236875471,-510.199082129768
-2345.6878857547,45.7754178705162
-1511.72613575472,-1035.03901012965
-2098.83520775471,-355.638171129694
-2531.38336875473,-727.029137129855
4264.8489192453,1188.85898986991
2411.22993624531,292.628095869862
-4755.28136875473,1744.83348987019
1206.98916924527,1837.12525687025
-1850.87058075472,2702.22157886989
-1697.4216187547,3968.73148987054
-2684.8323307547,4153.31502386987
-4322.73320775471,2238.53884587046
-2437.97965275471,3566.20595186998
-5248.98672475471,2578.79523987022
-2128.85783075471,3041.36602387009
-3488.77145775473,2547.66066786982
-4970.99947475471,2146.2470788704
-3581.06322475469,3381.62241786985
-4847.57313575469,2917.93968487042
-1666.28704675469,3350.48784587024
-1357.16522475469,2732.24420186994
-2314.55331375469,2856.78248986997
-4816.43856375469,3041.36602387009
2411.22993624531,2485.39152386981
-7194.89747475471,-1622.14808212955
2348.96079224529,1590.27257887012
1947.54720324528,-1437.56454813021
-2778.23604675472,2454.2569518702
13252.7326862453,-4680.00783212993
-5804.9612247547,2176.26970187045
-863.459868754716,-850.455476129528
-801.190724754703,-3383.47529813002
-7843.16374175472,-911.612671129978
-8925.09011875469,-1437.56454813021
651.01466924528,478.323578870338
32.7710252452788,817.468023870535
2658.08261424529,-139.92006512996
125.062792245291,2238.53884587046
1855.25543624527,725.176256870473
1608.40275824528,2578.79523987022
-6020.67933075473,508.346201870386
-1850.87058075472,1157.72441787029
-2191.12697475472,1373.44252387003
2472.38713124531,2238.53884587046
-6854.64108075471,-819.320904129917
-5804.9612247547,1312.28532887037
-2592.54056375474,1960.55159586992
-801.190724754703,2207.40427387006
-4847.57313575469,478.323578870338
-7843.16374175472,-201.07726012962
-4415.02497475473,1528.0034348701
1299.28093624528,694.041684870072
63.9055972452852,1034.29807886983
1792.9862922453,-2487.24440412998
2380.0953642453,1218.88161286995
-6670.05754675473,-449.041887130108
-8369.1156187547,-1437.56454813021
1175.85459724531,1373.44252387003
3893.45795324529,-1931.2699041297
-8059.9937967547,261.49352387025
-8925.09011875469,-417.907315129707
-3796.78133075472,1898.28245186991
-7410.6155807547,570.615345870399
-8091.12836875471,-2085.83081512977
-1141.44711875471,-1128.44272613007
-5464.70483075469,539.480773869998
-3056.22329675471,1528.0034348701
2102.1081142453,-572.468226129781
2658.08261424529,-510.199082129768
-1326.03065275473,1559.13800687051
-2283.41874175474,2146.2470788704
1792.9862922453,1034.29807886983
-3518.79408075473,1126.58984586989
-1110.3125467547,1837.12525687025
-1697.4216187547,910.871739870159
-6824.61845775471,-171.054637129571
804.463631245297,1466.84623987044
1206.98916924527,-2487.24440412998
341.892847245279,-1684.41722612956
-6423.2048687547,-171.054637129571
3460.90979224527,1188.85898986991
-7966.59008075473,-1745.57442113001
-399.777135754691,2454.2569518702
-8306.84647475469,-2332.68349312991
1762.96366924531,1682.56434587018
-2715.9669027547,1620.29520187016
-8399.1382417547,-942.74724312959
156.197364245297,292.628095869862
1762.96366924531,2238.53884587046
3182.92254224528,1064.32070186988
-4446.15954675473,1496.86886287049
-5742.69208075473,-355.638171129694
959.024542245273,-1251.86906512974
1391.57270324529,972.028934869819
32.7710252452788,-973.881815129991
-5063.29124175472,-449.041887130108
-5125.56038575469,1435.71166787004
6735.59959724529,1404.57709587043
-955.751635754728,3690.74423987
1669.55995324529,384.919862869923
3986.86166924531,4616.99775687009
-1171.46974175471,910.871739870159
-1048.04340275469,1188.85898986991
712.171864245285,-4309.72881513012
5808.23413124529,1590.27257887012
-4168.17229675469,-3784.88888712944
-8800.55183075472,-2023.56167112976
7198.17038124531,694.041684870072
-29.4981187547341,1342.30795187042
3770.03161424527,-1313.02626013019
-3056.22329675471,-232.211832130021
6642.19588124527,1003.16350687022
-90.6553137546904,-47.6282981298982
-4724.14679675473,-2487.24440412998
